id;name;spot_no;level;spot_row;spot_column;occupied
1;label with;monster yum;11964;27329;292;false
2;infinite;round off;8934;25190;28737;true
3;whoa fisherman an;yippee quickly;4005;13415;14668;true
4;anenst opposite;excitedly lanky everlasting;24351;1987;26906;true
5;editor far successfully;quick;5281;6105;5939;true
6;eek;great excepting and;3495;19525;4497;true
7;while season towards;whose playfully bonnet;26160;31043;9048;true
8;ew flu;phooey;3495;6387;29275;false
9;glow meh ick;whereas geez;5054;30695;19518;false
10;distinct lest egg;gosh;17245;28763;17386;true
